ProductId,UserId,Score,Time,HelpfulnessNumerator,HelpfulnessDenominator,HelpfulnessRate,IsHelpful,FullReview,CleanText,char_count,word_count,avg_word_length,sentence_count,words_per_sentence,exclamation_count,question_count,uppercase_word_count,lexical_diversity,vader_neg,vader_neu,vader_pos,vader_compound,textblob_polarity,textblob_subjectivity,digit_ratio,specificity_score,has_comparison,personal_experience_score,price_mention
B0018CJNVG,A2DRD4UI6PGKZH,5,1288656000,2,3,0.6666666666666666,0,"One of the few dry kibble with NO Meal byproducts!! I have searched really hard for dry kibble with out meal byproducts. Dogs eat bones, but not ground to a sandy material!","one of the few dry kibble with no meal byproducts!! i have searched really hard for dry kibble with out meal byproducts. dogs eat bones, but not ground to a sandy material!",172,32,4.40625,3,10.666666666666666,3,0,0,0.875,0.12,0.88,0.0,-0.4258,-0.1697916666666666,0.4604166666666667,0.0,1,0,1,0
B000U94MN2,A28T5931DWIW84,1,1306713600,2,4,0.5,0,uniquely unpalatable Tastes like splenda syrup and red dye.  Not even reminiscent of Heinz or Hunts. Had to throw out the 6$ bottle immediately. Entirely unpalatable.,uniquely unpalatable tastes like splenda syrup and red dye. not even reminiscent of heinz or hunts. had to throw out the bottle immediately. entirely unpalatable.,162,25,5.52,4,6.25,0,0,0,1.0,0.0,0.906,0.094,0.3612,0.09375,0.53125,0.0,1,0,0,0
B000JZA1VO,A1XNLIKS5VLLPC,1,1343779200,0,2,0.0,0,unhappy This Product came with outter plastic cover removed with only 29 bars of candy in a 30 bar pack. Also came melted and reharded. (Not sure if that happend in shipping or came that way) But unsure of eating cause package came opened. *I did not make any claim since it was so cheap.,unhappy this product came with outter plastic cover removed with only bars of candy in a bar pack. also came melted and reharded. not sure if that happend in shipping or came that way but unsure of eating cause package came opened. i did not make any claim since it was so cheap.,279,53,4.283018867924528,4,13.25,0,0,0,0.8490566037735849,0.109,0.891,0.0,-0.5968,-0.1124999999999999,0.8722222222222222,0.0,1,0,5,1
B002AUCELQ,A16LMVPBUPQINJ,1,1330387200,1,4,0.25,0,"item says ""Lucy's Chocoalte Chip"" i was shopping for SUGAR-FREE cookies, so they suggested other SUGAR-FREE cookies and i selected them, unfortunately, i'm a diabetic, and when i received the ""lucy"" chocolate chip cookies: NOT only were they assorted flavors (Which i DIDNT order) BUT they were NOT SUGAR-FREE!! why would they suggest these i have NO idea,but i'm very upset.","item says lucys chocoalte chip i was shopping for sugarfree cookies, so they suggested other sugarfree cookies and i selected them, unfortunately, im a diabetic, and when i received the lucy chocolate chip cookies not only were they assorted flavors which i didnt order but they were not sugarfree!! why would they suggest these i have no idea,but im very upset.",362,61,4.950819672131147,2,30.5,2,0,0,0.7704918032786885,0.146,0.854,0.0,-0.837,-0.10625,0.66875,0.0,1,0,5,0
B008CTBK7S,A3JO7AX04PPPFQ,5,1328918400,1,2,0.5,0,"Feeding my sweet-tooth AND shrinking my waistline! I'm not worried about my fat intake at all, but I love peanut butter and would easily eat 400 peanut butter calories daily.  I'll eat a spoonful by itself, put a couple in a smoothie...  With the same amount of PB2, I'm eating 90 calories.  That means I can dip apple slices & dark chocolate, eat spoonfuls, and still put some powder in my smoothie without gaining 2 pounds a month.<br /><br />I bought one bag of chocolate and one of regular and mixed them together (thinking if it was nasty, the chocolate would help it taste better).  It actually tastes really good! My boyfriend says he can't tell that it's not regular peanut butter (I can tell) and that he prefers the powder to real peanut butter in shakes and smoothies. (I make fake ice-cream all the time by blending ice, almond milk, banana, and pb2).<br /><br />Honestly, the powder doesn't taste the same. However, it is close enough to make me keep eating it instead of the real peanut butter in the cupboard.  I like that I can make it as creamy or as thick as I want, and I have to say ignore the picture that someone posted here, because it really doesn't look that nasty!<br /><br />I took a chance buying the larger bags because it's cheaper by weight, and I am not at all disappointed. PB2 is well worth the money and I will be buying it regularly.","feeding my sweettooth and shrinking my waistline! im not worried about my fat intake at all, but i love peanut butter and would easily eat peanut butter calories daily. ill eat a spoonful by itself, put a couple in a smoothie... with the same amount of pb, im eating calories. that means i can dip apple slices dark chocolate, eat spoonfuls, and still put some powder in my smoothie without gaining pounds a month.br br i bought one bag of chocolate and one of regular and mixed them together thinking if it was nasty, the chocolate would help it taste better. it actually tastes really good! my boyfriend says he cant tell that its not regular peanut butter i can tell and that he prefers the powder to real peanut butter in shakes and smoothies. i make fake icecream all the time by blending ice, almond milk, banana, and pb.br br honestly, the powder doesnt taste the same. however, it is close enough to make me keep eating it instead of the real peanut butter in the cupboard. i like that i can make it as creamy or as thick as i want, and i have to say ignore the picture that someone posted here, because it really doesnt look that nasty!br br i took a chance buying the larger bags because its cheaper by weight, and i am not at all disappointed. pb is well worth the money and i will be buying it regularly.",1316,246,4.353658536585366,10,24.6,3,0,0,0.5853658536585366,0.07,0.774,0.156,0.97,0.0243333333333333,0.4315641025641025,0.0,8,1,23,1
B0000DBN2I,A8WKVLWFYAO8D,1,1226361600,2,5,0.4,0,"Dreadful! I tried this tea out of curiosity yesterday... normally, I love Tazo teas.  But this one... ugh.  I couldn't drink more than a few sips before I felt the need to pour it out.  The scent of it alone reminded me of a funeral home.  It tastes and smells exactly like orange-scented wood polish.  Awful.","dreadful! i tried this tea out of curiosity yesterday... normally, i love tazo teas. but this one... ugh. i couldnt drink more than a few sips before i felt the need to pour it out. the scent of it alone reminded me of a funeral home. it tastes and smells exactly like orangescented wood polish. awful.",302,56,4.410714285714286,7,8.0,1,0,0,0.8214285714285714,0.243,0.649,0.108,-0.8655,-0.1583333333333333,0.5750000000000001,0.0,1,1,6,0
B001J5NE30,A33AHZZ8XGHS5Y,1,1285200000,4,39,0.1025641025641025,0,"Beetle Part Recall We gave this to our one month old son until yesterday, and then found out that the formula we have been giving him since birth was recalled.  He wasn't doing too well on it.  I can't imagine how quality control failed such a major corporation in baby formula.  We switched to the Target brand, and surprisingly (or maybe not), our baby is doing much better now.  We will never trust or go back to the Similac brand (any type).","beetle part recall we gave this to our one month old son until yesterday, and then found out that the formula we have been giving him since birth was recalled. he wasnt doing too well on it. i cant imagine how quality control failed such a major corporation in baby formula. we switched to the target brand, and surprisingly or maybe not, our baby is doing much better now. we will never trust or go back to the similac brand any type.",435,82,4.317073170731708,5,16.4,0,0,0,0.8536585365853658,0.088,0.829,0.084,-0.0813,0.1232142857142857,0.3571428571428571,0.0,0,1,7,0
B000HJNAXI,A10MR5DG3TVWT4,4,1217894400,0,3,0.0,0,"it's couscous, give me a break the stuff is good... but it is over-priced<br />it's couscous, not golden rice.<br />quick and easy, like all couscous.<br />the wheat and tomato are very good.","its couscous, give me a break the stuff is good... but it is overpricedbr its couscous, not golden rice.br quick and easy, like all couscous.br the wheat and tomato are very good.",179,32,4.625,1,32.0,0,0,0,0.84375,0.0,0.711,0.289,0.9079,0.4453333333333333,0.6426666666666667,0.0,0,0,1,1
B005HUW1BE,A1F68LWD6VTUQW,5,1349740800,0,1,0.0,0,"Reliable Nutrition Since my cat was diagnosed with allergy to chicken, I have found this particular product its favorite. I have tried numerous sources, both local and online, to find a steady supply. Only Amazon.com has been able to fulfill this need regularly.","reliable nutrition since my cat was diagnosed with allergy to chicken, i have found this particular product its favorite. i have tried numerous sources, both local and online, to find a steady supply. only amazon.com has been able to fulfill this need regularly.",262,43,5.116279069767442,3,14.333333333333334,0,0,0,0.8837209302325582,0.0,0.866,0.134,0.7096,0.0814814814814814,0.5539173789173789,0.0,1,0,3,0
B003BJOORW,A3O6KWUXYFECY0,1,1289001600,13,33,0.3939393939393939,0,"BAD, do NOT buy! Chicken by-product, corn gluten meal, and whole ground corn?!!  Yeah, I'm NOT feeding my cat that, sorry. Googling ""corn gluten meal"" shows that it is used as an herbicide according to U.S. Patent # 5,030,268. If you Google ""U.S. Patent 5,030,268"" you will find out.  By-products are all the nasty parts of the chicken, turkey that humans won't eat: feet, neck, spleen, intestines that have bad effects on health. After all there are reasons why humans don't eat these parts, correct? So why should our pets? A good book that explains about by-products and manufacturing is The New Natural Cat by Anitra Frazier.  Because of these ingredients being in most cat foods, I buy Tractor Supply's 4HEALTH INDOOR dry food. Compare the ingredients in the Science Diet food to 4HEALTH and you will see the differences. 4HEALTH is a much better quality product with no corn, wheat or soy at HALF the price.","bad, do not buy! chicken byproduct, corn gluten meal, and whole ground corn?!! yeah, im not feeding my cat that, sorry. googling corn gluten meal shows that it is used as an herbicide according to u.s. patent ,,. if you google u.s. patent ,, you will find out. byproducts are all the nasty parts of the chicken, turkey that humans wont eat feet, neck, spleen, intestines that have bad effects on health. after all there are reasons why humans dont eat these parts, correct? so why should our pets? a good book that explains about byproducts and manufacturing is the new natural cat by anitra frazier. because of these ingredients being in most cat foods, i buy tractor supplys health indoor dry food. compare the ingredients in the science diet food to health and you will see the differences. health is a much better quality product with no corn, wheat or soy at half the price.",879,156,4.641025641025641,12,13.0,3,3,0,0.7628205128205128,0.091,0.847,0.062,-0.7198,-0.1613906926406925,0.6324675324675325,0.0,1,1,3,1
